GID_0,GID_1,GID_3,population,area_km2,population_km2
BGD,BGD.3,BGD.3.5.1_1,177434.6261,207,857.172107
BGD,BGD.3,BGD.3.5.2_1,330793.1884,257,1287.133029
BGD,BGD.3,BGD.3.5.3_1,313563.7751,333,941.6329584
BGD,BGD.3,BGD.3.5.4_1,624460.8066,497,1256.460375
BGD,BGD.3,BGD.3.5.5_1,275162.6899,236,1165.943601
BGD,BGD.3,BGD.3.5.6_1,367437.826,262,1402.434451
BGD,BGD.3,BGD.3.5.7_1,368447.0238,273,1349.622798
BGD,BGD.3,BGD.3.6.1_1,165472.8858,301,549.7438066
BGD,BGD.3,BGD.3.6.2_1,279538.3448,190,1471.254446
BGD,BGD.3,BGD.3.6.3_1,342805.5214,122,2809.881323
BGD,BGD.3,BGD.3.6.4_1,203826.8191,119,1712.830413
BGD,BGD.3,BGD.3.6.5_1,186922.7431,386,484.2558111
BGD,BGD.3,BGD.3.6.6_1,320376.7235,203,1578.210461
BGD,BGD.3,BGD.3.6.7_1,347727.2038,221,1573.426261
BGD,BGD.3,BGD.3.6.8_1,486017.7065,190,2557.987929
BGD,BGD.3,BGD.3.6.9_1,207791.6753,103,2017.394906
BGD,BGD.3,BGD.3.6.10_1,143890.3163,226,636.6828156
BGD,BGD.3,BGD.3.6.11_1,148504.3528,186,798.4104988
BGD,BGD.3,BGD.3.6.12_1,282614.4733,176,1605.764053
BGD,BGD.3,BGD.3.6.13_1,168430.5109,143,1177.83574
BGD,BGD.3,BGD.3.7.1_1,265752.9755,283,939.0564505
BGD,BGD.3,BGD.3.7.2_1,347928.9704,290,1199.75507
BGD,BGD.3,BGD.3.7.3_1,235096.2065,229,1026.620989
BGD,BGD.3,BGD.3.7.4_1,346876.7095,333,1041.6718
BGD,BGD.3,BGD.3.8.1_1,199710.8006,219,911.9214641
BGD,BGD.3,BGD.3.8.2_1,154668.834,145,1066.681614
BGD,BGD.3,BGD.3.8.3_1,131941.0344,243,542.9672197
BGD,BGD.3,BGD.3.8.4_1,352208.2625,215,1638.177965
BGD,BGD.3,BGD.3.8.5_1,176327.4933,141,1250.549598
BGD,BGD.3,BGD.3.8.6_1,174129.2419,200,870.6462093
BGD,BGD.3,BGD.3.8.7_1,308967.5323,212,1457.394021
BGD,BGD.3,BGD.3.9.1_1,178773.9935,144,1241.486066
BGD,BGD.3,BGD.3.9.2_1,175810.9605,140,1255.792575
BGD,BGD.3,BGD.3.9.3_1,414003.3905,154,2688.333704
BGD,BGD.3,BGD.3.9.4_1,308954.3058,174,1775.599459
BGD,BGD.3,BGD.3.9.5_1,283452.7658,199,1424.385758
BGD,BGD.3,BGD.3.9.6_1,214354.2105,122,1757.001725
BGD,BGD.3,BGD.3.10.1_1,498995.6298,448,1113.829531
BGD,BGD.3,BGD.3.10.2_1,211260.5651,251,841.6755581
BGD,BGD.3,BGD.3.10.3_1,489236.6473,398,1229.237807
BGD,BGD.3,BGD.3.10.4_1,489548.5316,399,1226.938676
BGD,BGD.3,BGD.3.10.5_1,436661.0222,284,1537.538811
BGD,BGD.3,BGD.3.10.6_1,352490.0707,355,992.9297766
