GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,area_m2
USA,United States,USA.47_1,Virginia,,USA.47.120_1,Suffolk,,,Independent City,Independent City,,US.VA.SO,1064494353
USA,United States,USA.47_1,Virginia,,USA.47.121_1,Surry,,,County,County,,US.VA.SR,726523669
USA,United States,USA.47_1,Virginia,,USA.47.122_1,Sussex,,,County,County,,US.VA.SS,1290618799
USA,United States,USA.47_1,Virginia,,USA.47.123_1,Tazewell,,,County,County,,US.VA.TA,1348229040
USA,United States,USA.47_1,Virginia,,USA.47.124_1,Virginia Beach,,,Independent City,Independent City,,US.VA.VI,677854995
USA,United States,USA.47_1,Virginia,,USA.47.125_1,Warren,,,County,County,,US.VA.WR,558868460
USA,United States,USA.47_1,Virginia,,USA.47.126_1,Washington,,,County,County,,US.VA.WG,1463520555
USA,United States,USA.47_1,Virginia,,USA.47.127_1,Waynesboro,,,Independent City,Independent City,,US.VA.WS,37254713
USA,United States,USA.47_1,Virginia,,USA.47.128_1,Westmoreland,,,County,County,,US.VA.WM,600322538
USA,United States,USA.47_1,Virginia,,USA.47.129_1,Williamsburg,,,Independent City,Independent City,,US.VA.WL,25284512
USA,United States,USA.47_1,Virginia,,USA.47.130_1,Winchester,,,Independent City,Independent City,,US.VA.WH,23484130
USA,United States,USA.47_1,Virginia,,USA.47.131_1,Wise,,,County,County,,US.VA.WI,1046816810
USA,United States,USA.47_1,Virginia,,USA.47.132_1,Wythe,,,County,County,,US.VA.WY,1202076507
USA,United States,USA.47_1,Virginia,,USA.47.133_1,York,,,County,County,,US.VA.YO,282115967
,,,,,,,,,,,,,
